confirm_day,case
2020/08/01,4
2020/08/02,5
2020/08/03,9
2020/08/04,6
2020/08/05,9
2020/08/06,10
2020/08/07,16
2020/08/08,13
2020/08/09,13
2020/08/10,7
2020/08/11,17
2020/08/12,23
2020/08/13,35
2020/08/14,71
2020/08/15,150
2020/08/16,91
2020/08/17,128
2020/08/18,152
2020/08/19,134
2020/08/20,127
2020/08/21,127
2020/08/22,147
2020/08/23,97
2020/08/24,142
2020/08/25,156
2020/08/26,107
2020/08/27,162
2020/08/28,118
2020/08/29,166
2020/08/30,70
2020/08/31,103
2020/09/01,87
2020/09/02,65
2020/09/03,46
2020/09/04,56
2020/09/05,58
2020/09/06,44
2020/09/07,81
2020/09/08,47
2020/09/09,36
2020/09/10,64
2020/09/11,38
2020/09/12,34
2020/09/13,41
2020/09/14,36
2020/09/15,50
2020/09/16,80
2020/09/17,39
2020/09/18,32
2020/09/19,20
